Sprint,Phase,Pillar,Task_ID,Requirement,Task_Name,Layer,Description,Tables,Depends_On,Estimate_Days,Priority,Acceptance_Criteria
O01,1,Foundation,F-01,CMP-05,Tenancy model and migration 0001,Data,"tenants table (name, slug, status, plan) plus tenant_id on every Onyx table from the first migration. Onyx tables live in the onyx_app Postgres schema so the Laravel port keeps public untouched.",tenants,-,3,P0,"Every Onyx table has a NOT NULL tenant_id; no table can be created without one"
O01,1,Foundation,F-02,CMP-05,Tenant-scoped RLS baseline,Data,"Deny-all baseline, FORCE RLS, and a tenant predicate on every policy using onyx.current_tenant(). Service-role remains the only write path.",tenants,F-01,2,P0,"A JWT for tenant A reads zero rows belonging to tenant B, proven by e2e"
O01,1,Foundation,F-03,CMP-05,Tenant claim in the JWT,Backend,"Add tenant_id to the access token and to requireAuth. Reject any token without one. Tenant resolution on login from the user's membership.",tenants;users,F-02,2,P0,"A token minted for one tenant cannot act on another; missing claim is a 401"
O01,1,Foundation,F-04,CMP-05,Roles and membership,Backend+Frontend,"Roles per tenant (student, faculty, exams, placement, admin) via a memberships table so one person can hold different roles in different institutions.",memberships;users,F-03,3,P0,"Role checks resolve per tenant, not globally"
O01,1,Foundation,F-05,CMP-05,Audit logging,Backend,"audit_logs capturing actor, tenant, action, entity, before/after and ip for sensitive operations across academics, assessment and finance.",audit_logs,F-03,3,P0,"Grade changes, role changes, fee edits and result publication all leave an audit row"
O01,1,Foundation,F-06,CMP-05,Tenant onboarding and switching,Backend+Frontend,"Create a tenant, seed its roles, invite the first admin. Tenant switcher for users who belong to more than one.",tenants;memberships,F-04,2,P1,"A new institution is usable end to end without touching another tenant's data"
O01,1,Foundation,F-07,-,Onyx app shell and navigation,Frontend,"Role-aware shell for student, faculty, institution and exams/placement views with the tenant in context.",-,F-04,3,P0,"Each role lands on its own home with only its own navigation"
O02,1,Onyx Learn,LRN-01a,LRN-01,Programs semesters and batches,Backend+Frontend,"Academic structure: programs, semesters, batches and the courses mapped into them. This is what makes the catalog institutional rather than a marketplace.",programs;semesters;batches,F-04,3,P0,"A course belongs to a program and semester; a learner belongs to a batch"
O02,1,Onyx Learn,LRN-01b,LRN-01,Course catalog and enrollment,Backend+Frontend,"Structured catalog with self-service and administrator-driven enrollment, including bulk enrolment by batch.",courses;enrollments,LRN-01a,3,P0,"Both self-service and admin-driven enrolment work; bulk enrols a whole batch"
O02,1,Onyx Learn,LRN-02a,LRN-02,Content model and delivery,Backend+Frontend,"Modules and lessons with streaming video, documents and resumable playback. Ports the proven player and progress engine from the port.",modules;lessons,LRN-01b,3,P0,"Playback resumes at the last position; progress is per learner"
O02,1,Onyx Learn,LRN-02b,LRN-02,Offline-friendly resources,Backend+Frontend,"Downloadable resources per lesson with access control and signed, expiring URLs.",resources,LRN-02a,2,P1,"A non-enrolled learner cannot obtain a signed URL"
O02,1,Onyx Learn,LRN-03a,LRN-03,Attendance sessions and capture,Backend+Frontend,"Sessions per course meeting with manual roster marking and per-learner status (present, absent, late, excused).",attendance_sessions;attendance_records,LRN-01b,3,P0,"Marking a roster records one row per learner with an auditable actor"
O02,1,Onyx Learn,LRN-03b,LRN-03,QR self check-in,Backend+Frontend,"Rotating QR code per session that a learner scans to mark themselves present, with a short validity window.",attendance_sessions,LRN-03a,3,P0,"An expired or reused code is refused; a learner cannot mark another learner"
O02,1,Onyx Learn,LRN-03c,LRN-03,Attendance analytics,Backend+Frontend,"Per-learner and per-cohort attendance percentages, shortfall flags and export.",attendance_records,LRN-03a,2,P0,"Percentages match a hand calculation on a seeded cohort"
O02,1,Onyx Learn,LRN-04a,LRN-04,Assignment authoring and rubrics,Backend+Frontend,"Assignments with instructions, attachments, deadlines, late policy and a weighted rubric.",assignments;rubrics,LRN-01b,3,P0,"A rubric's criteria weights sum to the assignment total"
O02,1,Onyx Learn,LRN-04b,LRN-04,Submission and return workflow,Backend+Frontend,"Learner submission with file upload and resubmission rules, faculty grading against the rubric, structured feedback and return.",assignment_submissions,LRN-04a,3,P0,"A late submission is flagged by policy; returned feedback is visible to the learner only"
O02,1,Onyx Learn,LRN-04c,LRN-04,Autosave for long-form work,Frontend+Backend,"Draft autosave for assignment text so a dropped connection never costs a learner their effort.",assignment_submissions,LRN-04b,2,P0,"Killing the tab mid-answer and returning restores the draft"
O03,2,Onyx Code Lab,LAB-01a,LAB-01,Browser IDE,Frontend,"Monaco-based multi-language editor with syntax highlighting, run controls, stdin panel and an interactive console.",-,F-07,4,P0,"Editing, running and reading output works for every supported language"
O03,2,Onyx Code Lab,LAB-02a,LAB-02,Execution provider and sandbox,Backend+Infra,"Self-hosted Judge0 or equivalent with CPU, memory, wall-clock and network limits. Provider chosen in discovery; the interface is provider-agnostic.",-,LAB-01a,4,P0,"A fork bomb, an infinite loop and a network call all fail safely inside limits"
O03,2,Onyx Code Lab,LAB-02b,LAB-02,Submission queue,Backend+Infra,"Durable queue for runs and grading so a class of 200 submitting at once degrades in latency, not in correctness.",code_submissions,LAB-02a,4,P0,"200 concurrent submissions all complete; none are lost or double-graded"
O03,2,Onyx Code Lab,LAB-03a,LAB-03,Test-case evaluator,Backend,"Visible and hidden test cases, partial scoring, per-case results and instant feedback.",problems;test_cases;code_submissions,LAB-02b,4,P0,"Hidden test inputs are never returned to the client, proven by e2e"
O03,2,Onyx Code Lab,LAB-04a,LAB-04,Problem bank,Backend+Frontend,"Problems organised by topic, difficulty and tags, with progressive hints and worked solutions released on rules.",problems;hints,LAB-03a,3,P1,"A solution is only released once the configured rule is met"
O03,2,Onyx Code Lab,LAB-05a,LAB-05,Project workspaces,Backend+Frontend,"Multi-file workspaces with snapshots, restore and mentor review comments.",workspaces;workspace_files;snapshots,LAB-03a,4,P1,"A snapshot restores the exact file tree it captured"
O04,2,Onyx Assess,ASS-01a,ASS-01,Question banks,Backend+Frontend,"Reusable banks with tags, difficulty and multiple question types, versioned so an edit cannot alter a sat paper.",question_banks;questions,F-04,3,P0,"Editing a question after an attempt does not change that attempt's paper"
